ortho	phon	lemme	cgram	genre	nombre	
conso	k§so	conso	NOM	f	s	
césars	sezaR	césar	NOM	m	p	
loche	lOS	loche	NOM	f	s	
aéronefs	aeRonEf	aéronef	NOM	m	p	
réadaptation	Readaptasj§	réadaptation	NOM	f	s	
cathédrales	katedRal	cathédrale	NOM	f	p	
cardans	kaRd@	cardan	NOM	m	p	
chenal	S°nal	chenal	NOM	m	s	
animations	animasj§	animation	NOM	f	p	
bravoure	bRavuR	bravoure	NOM	f	s	
acra	akRa	acra	NOM	m	s	
berme	bERm	berme	NOM	f	s	
bisaïeule	bizaj9l	bisaïeul	NOM	f	s	
micro	mikRo	micro	NOM		s	
t	te	t	NOM	m		
caféine	kafein	caféine	NOM	f	s	
jades	Zad	jade	NOM	m	p	
raccommodage	RakomodaZ	raccommodage	NOM	m	s	
domiciliation	domisiljasj§	domiciliation	NOM	f	s	
transbordeur	tR@sbORd9R	transbordeur	NOM	m	s	
parlophone	paRlOfOn	parlophone	NOM		s	
pavements	pav°m@	pavement	NOM	m	p	
fouinards	fwinaR	fouinard	NOM	m	p	
hellénistes	Elenist	helléniste	NOM		p	
altruiste	altR8ist	altruiste	NOM		s	
ingénieur	5Zenj9R	ingénieur	NOM	m	s	
hivernants	ivERn@	hivernant	NOM	m	p	
bordures	bORdyR	bordure	NOM	f	p	
gymnaste	Zimnast	gymnaste	NOM		s	
vermouths	vERmut	vermouth	NOM	m	p	
explosif	Eksplozif	explosif	NOM	m	s	
évacuée	evak8e	évacué	NOM	f	s	
laxisme	laksizm	laxisme	NOM	m	s	
éclatements	eklat°m@	éclatement	NOM	m	p	
topologie	topoloZi	topologie	NOM	f	s	
irakien	iRakj5	irakien	NOM	m	s	
nards	naR	nard	NOM	m	p	
cireuse	siR2z	cireur	NOM	f	s	
quartette	kwaRtEt	quartette	NOM	m	s	
lésions	lezj§	lésion	NOM	f	p	
auvergnates	ovERNat	auvergnat	NOM	f	p	
appui-tête	ap8itEt°	appui-tête	NOM	m	s	
reclassement	R°klas°m@	reclassement	NOM	m	s	
clermontois	klERm§twa	clermontois	NOM	m		
chardonneret	SaRdOn°RE	chardonneret	NOM	m	s	
héros	eRo	héros	NOM	m		
voyants	vwaj@	voyant	NOM	m	p	
instant	5st@	instant	NOM	m	s	
kidnappeurs	kidnap9R	kidnappeur	NOM	m	p	
courtisan	kuRtiz@	courtisan	NOM	m	s	
nitrogène	nitRoZEn	nitrogène	NOM	m	s	
bottines	botin	bottine	NOM	f	p	
ensablement	@sabl°m@	ensablement	NOM	m	s	
expédition	Ekspedisj§	expédition	NOM	f	s	
irradiations	iRadjasj§	irradiation	NOM	f	p	
top	tOp	top	NOM	m	s	
campeur	k@p9R	campeur	NOM	m	s	
planétarium	planetaRjOm	planétarium	NOM	m	s	
pianotage	pjanotaZ	pianotage	NOM	m	s	
brésiliennes	bReziljEn	brésilien	NOM	f	p	
coureur	kuR9R	coureur	NOM	m	s	
sauternes	sotERn	sauternes	NOM	m		
plexiglas	plEksiglas	plexiglas	NOM	m		
nue	ny	nu	NOM	f	s	
publiciste	pyblisist	publiciste	NOM		s	
petit-salé	p°tisale	petit-salé	NOM	m	s	
bouchage	buSaZ	bouchage	NOM	m	s	
précipités	pResipite	précipité	NOM	m	p	
diabète	djabEt	diabète	NOM	m	s	
observations	opsERvasj§	observation	NOM	f	p	
déséquilibrées	dezekilibRe	déséquilibré	NOM	f	p	
détection	detEksj§	détection	NOM	f	s	
antimilitarisme	@timilitaRizm	antimilitarisme	NOM	m	s	
punching ball	p9nSiGbOl	punching-ball	NOM	m	s	
couches-culottes	kuSkylOt	couche-culotte	NOM	f	p	
premiers	pR2mje	premier	NOM	m	p	
énumération	enymeRasj§	énumération	NOM	f	s	
ankyloses	@kiloz	ankylose	NOM	f	p	
imprimeurs	5pRim9R	imprimeur	NOM	m	p	
détours	detuR	détour	NOM	m	p	
grimpée	gR5pe	grimpée	NOM	f	s	
guichets	giSE	guichet	NOM	m	p	
flâneries	flan°Ri	flânerie	NOM	f	p	
mêlée	mele	mêlée	NOM	f	s	
éparpillement	epaRpij°m@	éparpillement	NOM	m	s	
mutant	myt@	mutant	NOM	m	s	
appréciations	apResjasj§	appréciation	NOM	f	p	
jalons	Zal§	jalon	NOM	m	p	
godemichés	god°miSe	godemiché	NOM	m	p	
stalag	stalag	stalag	NOM	m	s	
calvities	kalvisi	calvitie	NOM	f	p	
halo	alo	halo	NOM	m	s	
pacte	pakt	pacte	NOM	m	s	
éphédrine	efedRin	éphédrine	NOM	f	s	
périphrases	peRifRaz	périphrase	NOM	f	p	
trahison	tRaiz§	trahison	NOM	f	s	
croquetons	kROk°t§	croqueton	NOM	m	p	
usagères	yzaZER	usager	NOM	f	p	
vermillons	vERmij§	vermillon	NOM	m	p	
talion	talj§	talion	NOM	m	s	
volière	voljER	volière	NOM	f	s	
indépendance	5dep@d@s	indépendance	NOM	f	s	
vicieux	visj2	vicieux	NOM	m		
moquettes	mokEt	moquette	NOM	f	p	
chyle	Sil	chyle	NOM	m	s	
doublard	dublaR	doublard	NOM	m	s	
tigelles	tiZEl	tigelle	NOM	f	p	
septime	sEptim	septime	NOM	f	s	
usurière	yzyRjER	usurier	NOM	f	s	
grammes	gRam	gramme	NOM	m	p	
confectionneuse	k§fEksjon2z	confectionneur	NOM	f	s	
bâtonnier	batonje	bâtonnier	NOM	m	s	
capitale	kapital	capitale	NOM	f	s	
serviabilité	sERvjabilite	serviabilité	NOM	f	s	
corbin	kORb5	corbin	NOM	m	s	
récoltant	RekOlt@	récoltant	NOM	m	s	
dur	dyR	dur	NOM	m	s	
